                   0,                 768,    9675.29914731711,    5605.64957365855,2.10699739051753e-14
                0.01,                 768,    10173.5543522085,    5854.77717610423,5.37931411773104e-14
                0.02,                 768,     10717.274955781,    6126.63747789048,4.88488037794213e-14
                0.03,                 768,    10715.8563592412,    6125.92817962062,3.59316268064637e-14
                0.04,                 768,     10345.133125361,    5940.56656268048,3.76739817669535e-14
                0.05,                 768,       10053.6642906,    5794.83214529999,1.89811727351799e-14
                0.06,                 768,    9829.58092622508,    5682.79046311254,4.58535803252944e-14
                0.07,    767.999999999999,    9519.75204847396,    5527.87602423698,3.82733543436102e-14
                0.08,    767.999999999999,     9120.4813965726,     5328.2406982863,3.45793907056135e-14
                0.09,                 768,    8637.30930495319,    5086.65465247659,5.23012342115995e-14
                0.1,   767.999999999999,   8132.91417907207,   4834.45708953603,1.6189859613484e-14
                0.11,    767.999999999999,    7561.18059216274,    4548.59029608137,2.67503998674589e-14
                0.12,    768.000000000001,    7050.37366060076,    4293.18683030038,2.18807608470821e-14
                0.13,                 768,    6515.58310555302,    4025.79155277651,3.19175392342263e-14
                0.14,    767.999999999999,    6038.01887093393,    3787.00943546696,1.28787685246726e-14
                0.15,                 768,    5606.49188525523,    3571.24594262762,2.15008141474724e-14
               0.16,   767.999999999999,   5270.41350955725,   3403.20675477862,1.4073171689034e-14
                0.17,                 768,    4945.65532766732,    3240.82766383366,1.55102020815157e-14
                0.18,    767.999999999999,    4714.80709271354,    3125.40354635677,2.78060033201104e-14
                0.19,    767.999999999999,    4567.89154359392,    3051.94577179696,1.69954803058734e-14
                 0.2,                 768,    4428.40106449345,    2982.20053224672,2.57217974087243e-14
                0.21,    768.000000000001,    4305.03515115796,    2920.51757557898,2.72656399431463e-14
                0.22,    768.000000000001,    4272.91419280124,    2904.45709640062,2.52889699484381e-14
                0.23,                 768,    4288.69662596893,    2912.34831298446,2.77924105778504e-14
               0.24,   767.999999999999,   4326.64858488964,   2931.32429244482,6.0687678743305e-15
               0.25,   767.999999999999,   4316.11317060616,   2926.05658530308,2.6002989921843e-14
                0.26,    768.000000000001,    4316.51438628739,     2926.2571931437,2.58756405678052e-14
               0.27,   768.000000000001,   4303.00587981699,    2919.5029399085,6.6149171073021e-15
                0.28,    768.000000000001,    4251.12601518141,    2893.56300759071,1.63930924243142e-14
                0.29,                 768,    4176.39246484841,    2856.19623242421,1.69482735732464e-14
                 0.3,    767.999999999999,    4093.79208588328,    2814.89604294164,2.45588384769303e-14
                0.31,    768.000000000001,    4013.32347607246,    2774.66173803623,3.62692823354887e-14
               0.32,                768,   3929.55113574114,   2732.77556787057,1.6680338919272e-14
                0.33,                 768,    3843.02939002901,     2689.5146950145,2.86413871830319e-14
                0.34,                 768,    3749.09122978538,    2642.54561489269,2.50942332726927e-14
                0.35,    767.999999999999,    3715.23770148019,     2625.6188507401,1.18242987052407e-14
               0.36,                768,   3696.15045402737,   2616.07522701368,2.0302515827592e-14
                0.37,                 768,    3693.43659832724,    2614.71829916362,1.07473947008872e-14
                0.38,    768.000000000001,    3670.48645097273,    2603.24322548636,2.19065880800855e-14
                0.39,                 768,    3649.83500390921,     2592.9175019546,1.53073949695541e-14
                 0.4,    768.000000000001,     3655.2227343718,     2595.6113671859,2.00324509025773e-14
                0.41,    767.999999999999,     3661.9273563119,    2598.96367815595,2.16169432220785e-14
                0.42,    767.999999999999,    3701.41440097326,    2618.70720048663,3.24317465381092e-14
               0.43,   767.999999999999,   3661.33203761936,   2598.66601880968,1.8695311840659e-14
                0.44,    767.999999999999,    3613.28394786489,    2574.64197393245,1.12571359080704e-14
                0.45,    767.999999999999,    3559.50153148498,    2547.75076574249,1.53512422902875e-14
                0.46,    768.000000000001,    3559.35097416064,    2547.67548708032,2.75892236615811e-14
                0.47,                 768,    3568.93368686627,    2552.46684343313,3.07164824572674e-14
                0.48,                 768,    3527.31208930191,    2531.65604465095,1.97608003272214e-14
                0.49,    767.999999999999,    3506.32945516601,      2521.164727583,2.36238268296405e-14
                 0.5,                 768,    3538.81972362393,    2537.40986181196,1.79483098843846e-14
                0.51,    767.999999999999,    3510.86806496011,    2523.43403248005,2.94853712488711e-14
                0.52,                 768,    3475.25243769598,    2505.62621884799,2.84454570893723e-14
                0.53,    767.999999999999,    3473.44451462439,    2504.72225731219,2.63340887851296e-14
                0.54,    767.999999999999,    3499.61613909499,     2517.8080695475,2.59168755545412e-14
                0.55,                 768,    3466.69125364094,    2501.34562682047,2.72466605649788e-14
                0.56,                 768,    3457.24931252804,    2496.62465626402,1.96604323221684e-14
                0.57,                 768,    3480.99399972306,    2508.49699986153,1.69559081767426e-14
                0.58,                 768,    3433.11561795843,    2484.55780897922,1.94849676043072e-14
                0.59,                 768,    3407.95381659794,    2471.97690829897,1.10627471214908e-14
                 0.6,                 768,    3387.52923680885,    2461.76461840442,1.83145791918452e-14
                0.61,                 768,    3385.13493200862,    2460.56746600431,1.21518715506694e-14
                0.62,    767.999999999999,    3412.80679224471,    2474.40339612235,2.53237497425277e-14
                0.63,    768.000000000001,    3447.45873412671,    2491.72936706336,1.69668996029139e-14
                0.64,                 768,     3486.9604753715,    2511.48023768575,1.82701695797627e-14
                0.65,                 768,    3502.88668719155,    2519.44334359577,2.52895182722843e-14
                0.66,    768.000000000001,    3453.57294214922,    2494.78647107461,2.96346503110955e-14
                0.67,    768.000000000001,    3398.84655089018,    2467.42327544509,7.24797943616438e-15
                0.68,    768.000000000001,    3301.24971298189,    2418.62485649095,1.50163563948372e-14
